feature,importance
pm2_5_nowcast,117322615.04285783
pm10_nowcast,79791518.19509284
pm2_5_nowcast_lag_1h,76295928.69004162
pm2_5_nowcast_ma_6h,2100990.8317358047
no2_ppb,1243507.5079694837
pm2_5_pm10_ratio,952165.1554507762
traffic_index,619201.7979287505
so2_ppb,390045.62535731494
pm10_nowcast_lag_1h,32538.692448973656
co_ppm_8hr_avg,22984.232039138675
co_ppm_8hr_avg_lag_1h,18857.690154761076
no2_ppb_lag_1h,18215.36657179892
pm10_nowcast_ma_6h,15643.469698294997
no2_ppb_ma_6h,15287.499438673258
hour_sin,14219.986333936453
hour,5429.589389011264
hour_cos,4739.054910078645
day_of_week_sin,3033.004845947027
season,2849.40269356966
day_of_week_cos,1969.857461631298
is_rush_hour,39.31265091896057
is_weekend,20.277480125427246
