feature,importance
pm2_5_nowcast,0.9989681073148767
pm10_nowcast,0.0007217107096181974
pm2_5_pm10_ratio,0.00011127930302829586
pm10_nowcast_lag_1h,6.327126993674824e-05
no2_ppb_lag_1h,2.350221339015096e-05
pm10_nowcast_ma_6h,1.7772379727053954e-05
no2_ppb,1.7752613038538345e-05
co_ppm_8hr_avg,1.4700910932738476e-05
traffic_index,1.3621810120098841e-05
pm2_5_nowcast_lag_1h,1.1001004027051442e-05
co_ppm_8hr_avg_lag_1h,1.0345746659672106e-05
so2_ppb,8.431658575076764e-06
no2_ppb_ma_6h,4.910346816536251e-06
hour_cos,3.883959304514065e-06
hour,2.630639014859989e-06
season,1.8776693826758835e-06
pm2_5_nowcast_ma_6h,1.7835815751327186e-06
day_of_week_cos,1.3071614251211455e-06
hour_sin,1.2703521864072504e-06
day_of_week_sin,4.68107493211585e-07
is_rush_hour,3.180675014979187e-07
is_weekend,5.318136971792409e-08
