feature,importance
pm2_5_nowcast,0.69091594
pm2_5_nowcast_lag_1h,0.25017142
pm10_nowcast,0.054251786
pm2_5_pm10_ratio,0.002036934
traffic_index,0.0005052531
no2_ppb,0.00041785548
no2_ppb_lag_1h,0.00028436835
so2_ppb,0.000229578
pm10_nowcast_lag_1h,0.00020986958
co_ppm_8hr_avg,0.00014686809
co_ppm_8hr_avg_lag_1h,0.00011547559
season,0.00010698872
day_of_week_cos,9.131465e-05
pm10_nowcast_ma_6h,8.4773776e-05
pm2_5_nowcast_ma_6h,8.115642e-05
hour_cos,8.017168e-05
no2_ppb_ma_6h,7.3829025e-05
hour,6.67274e-05
hour_sin,4.6545694e-05
is_rush_hour,3.5614725e-05
day_of_week_sin,3.4916466e-05
is_weekend,1.2520657e-05
