datetime,aqi_forecast,forecast_type
2025-12-05 22:00:00+00:00,160.0815,3_day_forecast
2025-12-05 23:00:00+00:00,160.03612,3_day_forecast
2025-12-06 00:00:00+00:00,156.9562,3_day_forecast
2025-12-06 01:00:00+00:00,156.79202,3_day_forecast
2025-12-06 02:00:00+00:00,153.5842,3_day_forecast
2025-12-06 03:00:00+00:00,152.98122,3_day_forecast
2025-12-06 04:00:00+00:00,154.19379,3_day_forecast
2025-12-06 05:00:00+00:00,154.12038,3_day_forecast
2025-12-06 06:00:00+00:00,158.1447,3_day_forecast
2025-12-06 07:00:00+00:00,162.34933,3_day_forecast
2025-12-06 08:00:00+00:00,161.7156,3_day_forecast
2025-12-06 09:00:00+00:00,156.15894,3_day_forecast
2025-12-06 10:00:00+00:00,157.04616,3_day_forecast
2025-12-06 11:00:00+00:00,156.77573,3_day_forecast
2025-12-06 12:00:00+00:00,155.99055,3_day_forecast
2025-12-06 13:00:00+00:00,156.77351,3_day_forecast
2025-12-06 14:00:00+00:00,156.75189,3_day_forecast
2025-12-06 15:00:00+00:00,156.7792,3_day_forecast
2025-12-06 16:00:00+00:00,156.81784,3_day_forecast
2025-12-06 17:00:00+00:00,161.7082,3_day_forecast
2025-12-06 18:00:00+00:00,161.34303,3_day_forecast
2025-12-06 19:00:00+00:00,156.6983,3_day_forecast
2025-12-06 20:00:00+00:00,157.42825,3_day_forecast
2025-12-06 21:00:00+00:00,157.40256,3_day_forecast
2025-12-06 22:00:00+00:00,156.8386,3_day_forecast
2025-12-06 23:00:00+00:00,156.89569,3_day_forecast
2025-12-07 00:00:00+00:00,156.68642,3_day_forecast
2025-12-07 01:00:00+00:00,156.5839,3_day_forecast
2025-12-07 02:00:00+00:00,153.87729,3_day_forecast
2025-12-07 03:00:00+00:00,153.86018,3_day_forecast
2025-12-07 04:00:00+00:00,152.71317,3_day_forecast
2025-12-07 05:00:00+00:00,154.4541,3_day_forecast
2025-12-07 06:00:00+00:00,157.54663,3_day_forecast
2025-12-07 07:00:00+00:00,162.82646,3_day_forecast
2025-12-07 08:00:00+00:00,163.31921,3_day_forecast
2025-12-07 09:00:00+00:00,157.47879,3_day_forecast
2025-12-07 10:00:00+00:00,156.7017,3_day_forecast
2025-12-07 11:00:00+00:00,156.60303,3_day_forecast
2025-12-07 12:00:00+00:00,156.51639,3_day_forecast
2025-12-07 13:00:00+00:00,156.477,3_day_forecast
2025-12-07 14:00:00+00:00,156.6635,3_day_forecast
2025-12-07 15:00:00+00:00,156.6581,3_day_forecast
2025-12-07 16:00:00+00:00,156.57379,3_day_forecast
2025-12-07 17:00:00+00:00,162.31529,3_day_forecast
2025-12-07 18:00:00+00:00,162.82384,3_day_forecast
2025-12-07 19:00:00+00:00,156.50818,3_day_forecast
2025-12-07 20:00:00+00:00,156.62807,3_day_forecast
2025-12-07 21:00:00+00:00,156.78082,3_day_forecast
2025-12-07 22:00:00+00:00,156.63315,3_day_forecast
2025-12-07 23:00:00+00:00,156.83087,3_day_forecast
2025-12-08 00:00:00+00:00,159.98639,3_day_forecast
2025-12-08 01:00:00+00:00,159.96109,3_day_forecast
2025-12-08 02:00:00+00:00,155.7446,3_day_forecast
2025-12-08 03:00:00+00:00,155.91153,3_day_forecast
2025-12-08 04:00:00+00:00,156.03076,3_day_forecast
2025-12-08 05:00:00+00:00,156.76004,3_day_forecast
2025-12-08 06:00:00+00:00,159.91768,3_day_forecast
2025-12-08 07:00:00+00:00,166.13383,3_day_forecast
2025-12-08 08:00:00+00:00,166.0998,3_day_forecast
2025-12-08 09:00:00+00:00,159.02286,3_day_forecast
2025-12-08 10:00:00+00:00,162.39021,3_day_forecast
2025-12-08 11:00:00+00:00,158.165,3_day_forecast
2025-12-08 12:00:00+00:00,158.80731,3_day_forecast
2025-12-08 13:00:00+00:00,159.43489,3_day_forecast
2025-12-08 14:00:00+00:00,159.80878,3_day_forecast
2025-12-08 15:00:00+00:00,159.85144,3_day_forecast
2025-12-08 16:00:00+00:00,159.93051,3_day_forecast
2025-12-08 17:00:00+00:00,165.39014,3_day_forecast
2025-12-08 18:00:00+00:00,166.18137,3_day_forecast
2025-12-08 19:00:00+00:00,159.78285,3_day_forecast
2025-12-08 20:00:00+00:00,159.02614,3_day_forecast
2025-12-08 21:00:00+00:00,160.12369,3_day_forecast
